"visibility","datetime","coord.lon","coord.lat","main.temp","main.feels_like","main.temp_min","main.temp_max","main.pressure","main.humidity","main.sea_level","main.grnd_level","wind.speed","wind.deg","wind.gust","clouds.all","sys.sunrise","sys.sunset","weather.id","weather.main","weather.description","weather.icon","extraction_date_time","city_name","sys.type","sys.id","rain.1h"
10000.0,"2024-11-01 00:06:33+08:00",125.5436,8.9492,24.27,25.18,24.27,24.27,1011.0,93.0,1011.0,997.0,1.03,131.0,1.43,76.0,"2024-11-01 05:27:10+08:00","2024-11-01 17:15:31+08:00",803.0,"Clouds","broken clouds","04n","2024-11-01 00:06:33.464766+08:00","Butuan","","",""
10000.0,"2024-11-01 00:06:36+08:00",125.5344,9.1236,24.9,25.77,24.9,24.9,1011.0,89.0,1011.0,988.0,1.86,126.0,1.92,76.0,"2024-11-01 05:27:24+08:00","2024-11-01 17:15:22+08:00",803.0,"Clouds","broken clouds","04n","2024-11-01 00:06:36.050917+08:00","Cabadbaran","","",""
10000.0,"2024-11-01 00:06:38+08:00",120.9667,15.4833,24.59,25.51,24.59,24.59,1009.0,92.0,1009.0,1007.0,2.48,140.0,3.5,100.0,"2024-11-01 05:52:28+08:00","2024-11-01 17:26:50+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:06:38.199330+08:00","Cabanatuan City","","",""
10000.0,"2024-11-01 00:06:39+08:00",121.1262,14.2726,26.64,26.64,26.62,27.24,1009.0,95.0,1009.0,1000.0,1.94,149.0,2.18,100.0,"2024-11-01 05:50:31+08:00","2024-11-01 17:27:31+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:06:39.554331+08:00","Cabuyao",2.0,2084056.0,""
10000.0,"2024-11-01 00:06:41+08:00",123.2856,10.9506,26.3,26.3,26.3,26.3,1011.0,81.0,1011.0,999.0,2.48,214.0,3.67,100.0,"2024-11-01 05:38:19+08:00","2024-11-01 17:22:26+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:06:41.379961+08:00","Cadiz","","",""
10000.0,"2024-11-01 00:06:42+08:00",124.6472,8.4822,24.71,25.35,24.71,24.71,1011.0,81.0,1011.0,1000.0,2.23,151.0,2.59,22.0,"2024-11-01 05:30:16+08:00","2024-11-01 17:19:35+08:00",801.0,"Clouds","few clouds","02n","2024-11-01 00:06:42.897070+08:00","Cagayan de Oro","","",""
10000.0,"2024-11-01 00:06:44+08:00",120.8133,13.9324,24.89,25.86,24.89,24.89,1009.0,93.0,1009.0,997.0,1.48,128.0,1.51,100.0,"2024-11-01 05:51:24+08:00","2024-11-01 17:29:08+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:06:44.479570+08:00","Calaca","","",""
10000.0,"2024-11-01 00:06:46+08:00",121.1653,14.2117,26.62,26.62,26.62,26.66,1009.0,91.0,1009.0,998.0,1.79,152.0,1.93,100.0,"2024-11-01 05:50:17+08:00","2024-11-01 17:27:25+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:06:46.949602+08:00","Calamba",2.0,2084056.0,""
10000.0,"2024-11-01 00:06:49+08:00",121.1803,13.4117,26.72,29.45,26.72,26.72,1009.0,84.0,1009.0,1000.0,2.66,138.0,3.16,100.0,"2024-11-01 05:49:22+08:00","2024-11-01 17:28:14+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:06:49.299718+08:00","Calapan","","",""
10000.0,"2024-11-01 00:06:51+08:00",124.6,12.0667,26.13,26.13,26.13,26.13,1011.0,88.0,1011.0,1006.0,2.48,108.0,3.41,99.0,"2024-11-01 05:34:14+08:00","2024-11-01 17:16:00+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:06:51.692412+08:00","Calbayog City","","",""
